Cars,Price,Mileage
2017 Mazda Mazda6 4dr Sdn 2.5L Auto GS,"$21,918","Mileage 22,318 km"
2012 Mercedes-Benz S-Class 4dr Sdn S550 4MATIC LWB,"$21,900","Mileage 148,000 km"
2016 Lexus ES 350 4dr Sdn,"$21,900","Mileage 173,000 km"
2016 Lexus ES 350 4dr Sdn,"$21,900","Mileage 173,000 km"
2001 Audi S4 4dr Sdn Quattro AWD 2.7L Man,"$21,889","Mileage 280,000 km"
2017 Chevrolet Malibu 4dr Sdn LT w/1LT,"$21,500","Mileage 56,000 km"
2013 Audi S4 4dr Sdn Auto,"$21,500","Mileage 127,000 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$21,500","Mileage 71,800 km"
2018 Toyota Camry Hybrid LE Auto,"$21,500","Mileage 80,000 km"
2019 Toyota Corolla SE CVT,"$21,500","Mileage 41,500 km"
2017 Dodge Charger 4dr Sdn SXT AWD,"$21,327","Mileage 100,000 km"
2015 BMW 5 Series 5dr 550i xDrive Gran Turismo AWD,"$21,000","Mileage 83,300 km"
2016 Subaru WRX 4dr Sdn Man,"$21,000","Mileage 51,500 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$21,000","Mileage 52,000 km"
2014 BMW 3 Series 4dr Sdn 328d xDrive AWD,"$20,995","Mileage 93,300 km"
2012 Audi A6 4dr Sdn quattro 3.0T Premium Plus,"$20,760","Mileage 132,000 km"
2015 Audi A3 4dr Sdn quattro 2.0T Technik,"$20,555","Mileage 90,000 km"
2019 Toyota Corolla SE CVT,"$20,500","Mileage 8,000 km"
2017 Toyota Camry Hybrid 4dr Sdn LE,"$20,500","Mileage 184,500 km"
2013 Lexus ES 350 4dr Sdn,"$20,500","Mileage 70,000 km"
2016 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$20,500","Mileage 61,000 km"
2014 Mercedes-Benz E-Class 4dr Sdn E250 BlueTEC 4MATIC,"$20,499","Mileage 125,000 km"
2016 Subaru WRX 4dr Sdn Man,"$20,300","Mileage 106,500 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 350 4MATIC,"$20,300","Mileage 76,000 km"
2016 Nissan Maxima 4dr Sdn Platinum,"$20,000","Mileage 101,000 km"
2013 Lexus ES 350 4dr Sdn,"$20,000","Mileage 94,000 km"
2014 Toyota Camry 4dr Sdn I4 Auto SE,"$20,000","Mileage 102,000 km"
2016 Cadillac CTS 4dr Sdn 3.6L Luxury Collection AWD,"$20,000","Mileage 78,416 km"
2015 Subaru WRX 4dr Sdn STI Man w-Sport Pkg,"$20,000","Mileage 134,850 km"
2014 Mercedes-Benz C-Class 4dr Sdn C300 4MATIC,"$20,000","Mileage 108,000 km"
2015 Mercedes-Benz CLA-Class 4dr Sdn CLA 250 4MATIC,"$20,000","Mileage 96,000 km"
